State,Year,Beer,Wine,Spirits
Alabama,1977,0.99,0.13,0.84
Alabama,1978,0.98,0.12,0.88
Alabama,1979,0.98,0.12,0.84
Alabama,1980,0.96,0.16,0.74
Alabama,1981,1.0,0.19,0.73
Alabama,1982,1.0,0.18,0.72
Alabama,1983,1.01,0.17,0.71
Alabama,1984,1.02,0.19,0.69
Alabama,1985,1.06,0.17,0.67
Alabama,1986,1.09,0.18,0.64
Alabama,1987,1.1,0.18,0.61
Alabama,1988,1.1,0.18,0.61
Alabama,1989,1.1,0.17,0.6
Alabama,1990,1.12,0.18,0.61
Alabama,1991,1.0,0.17,0.59
Alabama,1992,1.02,0.19,0.59
Alabama,1993,1.14,0.17,0.56
Alabama,1994,1.16,0.17,0.54
Alabama,1995,1.14,0.15,0.53
Alabama,1996,1.17,0.15,0.53
Alabama,1997,1.14,0.15,0.52
Alabama,1998,1.16,0.17,0.51
Alabama,1999,1.18,0.17,0.51
Alabama,2000,1.19,0.18,0.51
Alabama,2001,1.16,0.17,0.53
Alabama,2002,1.18,0.21,0.53
Alabama,2003,1.18,0.19,0.52
Alabama,2004,1.19,0.2,0.52
Alabama,2005,1.18,0.2,0.53
Alabama,2006,1.22,0.21,0.55
Alabama,2007,1.24,0.22,0.56
Alabama,2008,1.24,0.22,0.58
Alabama,2009,1.2,0.22,0.58
Alaska,1977,1.19,0.42,1.7
Alaska,1978,1.39,0.45,1.68
Alaska,1979,1.5,0.47,1.65
Alaska,1980,1.55,0.5,1.7
Alaska,1981,1.71,0.57,1.82
Alaska,1982,1.75,0.56,1.74
Alaska,1983,1.76,0.61,1.7
Alaska,1984,1.73,0.58,1.56
Alaska,1985,1.68,0.58,1.53
Alaska,1986,1.68,0.56,1.27
Alaska,1987,1.64,0.54,1.29
Alaska,1988,1.6,0.49,1.23
Alaska,1989,1.57,0.46,1.24
Alaska,1990,1.62,0.46,1.25
Alaska,1991,1.54,0.43,1.14
Alaska,1992,1.53,0.41,1.08
Alaska,1993,1.31,0.32,0.92
Alaska,1994,1.53,0.4,1.1
Alaska,1995,1.45,0.39,1.02
Alaska,1996,1.31,0.38,0.94
Alaska,1997,1.31,0.36,0.88
Alaska,1998,1.37,0.39,0.98
Alaska,1999,1.45,0.4,0.98
Alaska,2000,1.35,0.37,0.92
Alaska,2001,1.34,0.4,0.97
Alaska,2002,1.36,0.43,1.08
Alaska,2003,1.27,0.37,0.79
Alaska,2004,1.32,0.45,0.96
Alaska,2005,1.24,0.43,0.99
Alaska,2006,1.24,0.46,1.02
Alaska,2007,1.13,0.44,1.07
Alaska,2008,1.2,0.49,1.09
Alaska,2009,1.31,0.54,1.16
Arizona,1977,1.7,0.34,1.05
Arizona,1978,1.77,0.37,1.1
Arizona,1979,1.86,0.39,1.17
Arizona,1980,1.69,0.36,0.98
Arizona,1981,1.78,0.42,1.01
Arizona,1982,1.74,0.4,0.99
Arizona,1983,1.62,0.44,1.0
Arizona,1984,1.57,0.45,1.06
Arizona,1985,1.67,0.46,1.0
Arizona,1986,1.77,0.46,0.91
Arizona,1987,1.67,0.46,0.86
Arizona,1988,1.64,0.42,0.88
Arizona,1989,1.68,0.36,0.85
Arizona,1990,1.59,0.37,0.8
Arizona,1991,1.58,0.35,0.78
Arizona,1992,1.58,0.31,0.8
Arizona,1993,1.58,0.27,0.76
Arizona,1994,1.52,0.29,0.7
Arizona,1995,1.47,0.29,0.68
Arizona,1996,1.52,0.33,0.73
Arizona,1997,1.45,0.31,0.68
Arizona,1998,1.44,0.32,0.68
Arizona,1999,1.47,0.34,0.69
Arizona,2000,1.48,0.31,0.71
Arizona,2001,1.47,0.33,0.7
Arizona,2002,1.46,0.33,0.69
Arizona,2003,1.41,0.37,0.71
Arizona,2004,1.39,0.33,0.7
Arizona,2005,1.33,0.39,0.74
Arizona,2006,1.31,0.37,0.78
Arizona,2007,1.36,0.33,0.76
Arizona,2008,1.27,0.4,0.75
Arizona,2009,1.19,0.38,0.74
Arkansas,1977,0.92,0.1,0.63
Arkansas,1978,0.97,0.11,0.73
Arkansas,1979,0.93,0.1,0.57
Arkansas,1980,1.0,0.12,0.69
Arkansas,1981,1.06,0.12,0.68
Arkansas,1982,1.03,0.12,0.63
Arkansas,1983,1.03,0.13,0.63
Arkansas,1984,1.02,0.12,0.64
Arkansas,1985,1.03,0.13,0.58
Arkansas,1986,1.06,0.09,0.48
Arkansas,1987,1.08,0.11,0.53
Arkansas,1988,1.07,0.14,0.53
Arkansas,1989,1.08,0.13,0.57
Arkansas,1990,1.12,0.13,0.61
Arkansas,1991,1.12,0.11,0.58
